#DATA_BASE;UF;NOME_INSTITUICAO;AGEN_ESPERADAS;AGEN_PROCESSADAS;VERBETE_160_OPERACOES_DE_CREDITO;VERBETE_161_EMPRES_E_TIT_DESCONTADOS;VERBETE_162_FINANCIAMENTOS;VERBETE_163_FIN_RURAIS_AGRICUL_CUST/INVEST;VERBETE_167_FINANCIAMENTOS_AGROINDUSTRIAIS;VERBETE_169_FINANCIAMENTOS_IMOBILIARIOS;VERBETE_420_DEPOSITOS_DE_POUPANCA;VERBETE_432_DEPOSITOS_A_PRAZO;CODMUN_IBGE
202306;AC;CAIXA ECONOMICA FEDERAL;1;1;25839861;19176893;51551;3446371;0;4413437;9954873;270754;1200344
202306;AC;CAIXA ECONOMICA FEDERAL;1;1;15296402;13818996;733;1780088;0;415021;4958904;1034126;1200054
202306;AC;CAIXA ECONOMICA FEDERAL;1;1;57732880;39825048;3082;919893;0;18671336;17118794;610015;1200302
202306;AC;BCO DA AMAZONIA S.A.;1;1;12706310;4214438;100426;8381931;0;0;6764495;449106;1200302
202306;AC;BCO DA AMAZONIA S.A.;1;1;39149204;6064304;2537632;30539399;0;0;5914221;303483;1200708
202306;AC;BCO DO BRASIL S.A.;1;1;228419737;117963628;2092670;93519793;6;2089071;26236522;6924865;1200609
202306;AC;CAIXA ECONOMICA FEDERAL;1;1;91208000;66831670;0;616713;0;26320735;24551958;2922438;1200609
202306;AC;BCO DA AMAZONIA S.A.;1;1;23838353;5320062;224156;18214890;0;0;6939381;132723;1200609
202306;AC;BCO DO BRASIL S.A.;1;1;167162494;58441541;569890;98907386;0;1485181;20042189;16252193;1200500
202306;AC;CAIXA ECONOMICA FEDERAL;1;1;99355918;41249558;107221;27034197;0;34083693;39338850;3191790;1200500
202306;AC;BCO DA AMAZONIA S.A.;1;1;24899314;9856740;4753691;10132453;0;0;12329086;61119;1200500
202306;AC;BCO DO BRASIL S.A.;1;1;101508921;32791712;931547;63646456;0;339613;11642292;4373947;1200385
202306;AC;BCO DA AMAZONIA S.A.;1;1;34181466;9653863;4780953;19723828;0;0;1262124;4814;1200385
202306;AC;BCO DO BRASIL S.A.;1;1;126254066;42928175;1314110;72814220;0;1350444;17454428;6717343;1200450
202306;AC;CAIXA ECONOMICA FEDERAL;1;1;63356776;43022561;99670;109768;0;23470006;22671401;1220994;1200450
202306;AC;BCO DO BRASIL S.A.;1;1;355048927;278110462;8559325;15592553;6;6524494;91207673;35906868;1200203
202306;AC;CAIXA ECONOMICA FEDERAL;1;1;259766403;178358057;171309;457449;0;93690524;118529844;10329341;1200203
202306;AC;BCO DA AMAZONIA S.A.;1;1;53905040;15311787;21083987;17471261;0;0;8153497;186651;1200203
202306;AC;BCO BRADESCO S.A.;1;1;2690859;1736619;0;270189;0;0;23190766;11195842;1200203
202306;AC;BCO SANTANDER (BRASIL) S.A.;1;1;24223266;25042996;702454;0;0;0;1203074;7433115;1200203
202306;AC;BCO DO BRASIL S.A.;1;1;143192395;39035604;763703;95398594;0;630104;16386291;1353070;1200104
202306;AC;CAIXA ECONOMICA FEDERAL;1;1;63341583;49284318;11443;193741;0;18235054;27748277;2172003;1200104
202306;AC;BCO DA AMAZONIA S.A.;1;1;37489615;6326803;10839286;20302260;0;0;8470946;211122;1200104
202306;AC;BCO BRADESCO S.A.;1;1;6562562;1319914;0;5221082;0;0;3773396;5697044;1200104
202306;AC;BCO DO BRASIL S.A.;9;9;2518772136;1396014856;128913110;667860104;43;51564396;431797898;580924178;1200401
202306;AC;CAIXA ECONOMICA FEDERAL;4;4;1793206401;682303993;3105159;70246561;0;1097007027;463226789;271849965;1200401
202306;AC;BCO DA AMAZONIA S.A.;2;2;517103156;57986266;116564903;338653710;0;0;10386727;1512394;1200401
202306;AC;ITA� UNIBANCO S.A.;2;2;65993270;64201497;2400232;0;0;0;47505553;67579024;1200401
202306;AC;BCO BRADESCO S.A.;2;2;32127524;13405643;0;18479835;0;0;59868421;247744617;1200401
