MUNICIPIO IBGE;Min - DATA INÍCIO;Count - NOME INSTITUIÇÃO                                                                                                                                                                                        ;ano;mês;anomes
1100015;;3;;;
1100023;10/5/1979;6;1979;5;19795
1100049;12/10/2008;6;2008;10;200810
1100056;5/10/1985;4;1985;10;198510
1100064;;3;;;
1100080;;1;;;
1100098;;2;;;
1100106;7/2/1943;4;1943;2;19432
1100114;2/4/1985;5;1985;4;19854
1100122;2/1/1978;9;1978;1;19781
1100130;;2;;;
1100148;;1;;;
1100155;3/10/1978;3;1978;10;197810
1100189;6/9/1976;5;1976;9;19769
1100205;12/7/1979;31;1979;7;19797
1100254;;2;;;
1100288;10/1/2003;6;2003;1;20031
1100304;7/1/1980;7;1980;1;19801
1100320;12/12/2011;3;2011;12;201112
1100338;12/12/2011;3;2011;12;201112
1100346;;1;;;
1100403;;3;;;
1100452;2/5/2004;4;2004;5;20045
1100809;;2;;;
1100940;10/10/2011;1;2011;10;201110
1101203;;1;;;
1101302;;1;;;
1101401;10/10/2011;2;2011;10;201110
1101492;3/6/2009;2;2009;6;20096
1101708;;1;;;
1200013;;1;;;
1200054;;1;;;
1200104;10/10/2011;4;2011;10;201110
1200138;;1;;;
1200203;7/2/1953;5;1953;2;19532
1200252;;1;;;
1200302;;2;;;
1200344;;1;;;
1200385;;2;;;
1200401;12/8/1972;21;1972;8;19728
1200450;;2;;;
1200500;2/2/1957;3;1957;2;19572
1200609;1/12/2009;3;2009;12;200912
1200708;12/1/2003;1;2003;1;20031
1200807;;1;;;
1300144;6/10/2002;1;2002;10;200210
1300300;3/8/2007;2;2007;8;20078
1300409;6/10/2002;2;2002;10;200210
1300508;6/10/2002;1;2002;10;200210
1300607;6/10/2002;1;2002;10;200210
1300631;12/12/2011;1;2011;12;201112
1300706;5/2/1977;3;1977;2;19772
1300805;6/10/2002;3;2002;10;200210
1300904;6/10/2002;1;2002;10;200210
1301001;10/5/1979;3;1979;5;19795
1301100;6/10/2002;2;2002;10;200210
1301209;6/10/2002;4;2002;10;200210
1301308;6/10/2002;1;2002;10;200210
1301407;6/10/2002;2;2002;10;200210
1301506;12/12/2011;1;2011;12;201112
1301605;6/10/2002;1;2002;10;200210
1301704;2/2/1976;4;1976;2;19762
1301803;12/12/2011;1;2011;12;201112
1301852;6/10/2002;2;2002;10;200210
1301902;5/12/1951;5;1951;12;195112
1302306;12/12/2011;1;2011;12;201112
1302405;6/10/2002;3;2002;10;200210
1302504;6/10/2002;6;2002;10;200210
1302553;12/12/2011;1;2011;12;201112
1302603;4/2/1943;106;1943;2;19432
1302702;2/7/1977;3;1977;7;19777
1302900;6/10/2002;4;2002;10;200210
1303007;6/10/2002;1;2002;10;200210
1303106;6/10/2002;1;2002;10;200210
1303205;6/10/2002;1;2002;10;200210
1303304;6/10/2002;1;2002;10;200210
1303403;4/1/1949;6;1949;1;19491
1303502;12/12/2011;1;2011;12;201112
1303536;6/10/2002;3;2002;10;200210
1303569;6/10/2002;2;2002;10;200210
1303700;;1;;;
1303809;6/10/2002;2;2002;10;200210
1303908;6/10/2002;2;2002;10;200210
1304062;3/10/1978;3;1978;10;197810
1304104;12/12/2011;1;2011;12;201112
1304203;10/5/1964;5;1964;5;19645
1304302;6/10/2002;1;2002;10;200210
1400100;1/10/1944;18;1944;10;194410
1400209;10/2/1978;3;1978;2;19782
1400308;;1;;;
1400472;;2;;;
1400506;;1;;;
1500107;1/8/1953;7;1953;8;19538
1500131;;1;;;
1500206;11/9/2011;2;2011;9;20119
1500305;;1;;;
1500347;;1;;;
1500404;9/6/1989;4;1989;6;19896
1500503;7/7/1980;3;1980;7;19807
1500602;7/1/1964;8;1964;1;19641
1500701;1/12/2015;1;2015;12;201512
1500800;6/10/1977;17;1977;10;197710
1500859;;1;;;
1500909;11/8/2011;3;2011;8;20118
1500958;;1;;;
1501105;;1;;;
1501204;;2;;;
1501253;;1;;;
1501303;;7;;;
1501402;7/1/1908;95;1908;1;19081
1501451;9/8/2022;1;2022;8;20228
1501501;;4;;;
1501576;;2;;;
1501600;12/9/2014;1;2014;9;20149
1501709;4/3/1944;5;1944;3;19443
1501725;8/11/2011;2;2011;11;201111
1501758;;1;;;
1501782;12/12/2014;2;2014;12;201412
1501808;12/9/1976;4;1976;9;19769
1501907;;1;;;
1501956;;1;;;
1502004;;1;;;
1502103;9/7/1956;6;1956;7;19567
1502152;8/12/2009;6;2009;12;200912
1502202;5/12/1955;6;1955;12;195512
1502301;6/2/1975;4;1975;2;19752
1502400;10/4/1966;11;1966;4;19664
1502608;;1;;;
1502707;6/7/1974;5;1974;7;19747
1502756;;1;;;
1502764;;1;;;
1502772;9/12/2011;2;2011;12;201112
1502806;4/7/2016;1;2016;7;20167
1502855;;1;;;
1502905;;2;;;
1502939;11/6/2012;6;2012;6;20126
1502954;;2;;;
1503002;;1;;;
1503044;12/12/2016;1;2016;12;201612
1503077;9/10/2012;2;2012;10;201210
1503093;8/11/2011;2;2011;11;201111
1503101;3/9/2023;2;2023;9;20239
1503200;10/3/1977;3;1977;3;19773
1503309;11/6/1970;6;1970;6;19706
1503408;8/3/2021;1;2021;3;20213
1503457;;2;;;
1503507;12/11/1986;2;1986;11;198611
1503606;12/6/1971;7;1971;6;19716
1503705;;3;;;
1503754;;1;;;
1503804;1/2/1981;5;1981;2;19812
1503903;12/9/2008;4;2008;9;20089
1504000;;1;;;
1504059;;4;;;
1504109;;1;;;
1504208;8/8/1955;18;1955;8;19558
1504307;;1;;;
1504406;8/11/2011;2;2011;11;201111
1504422;7/12/2011;5;2011;12;201112
1504455;;2;;;
1504505;;1;;;
1504604;2/11/2019;1;2019;11;201911
1504703;12/9/1986;4;1986;9;19869
1504752;;1;;;
1504802;10/10/2011;4;2011;10;201110
1504901;;1;;;
1504950;12/8/2011;1;2011;8;20118
1504976;7/12/2021;1;2021;12;202112
1505007;2/12/2021;1;2021;12;202112
1505031;12/1/2005;4;2005;1;20051
1505064;7/2/2004;5;2004;2;20042
1505106;10/2/1982;3;1982;2;19822
1505205;12/12/2018;1;2018;12;201812
1505304;10/1/1979;5;1979;1;19791
1505403;8/2/2021;1;2021;2;20212
1505437;;3;;;
1505486;7/9/2004;3;2004;9;20049
1505494;;1;;;
1505502;10/5/2007;6;2007;5;20075
1505536;2/10/2006;12;2006;10;200610
1505551;;1;;;
1505601;;1;;;
1505635;;1;;;
1505700;12/1/2017;1;2017;1;20171
1505809;;2;;;
1505908;8/12/2011;2;2011;12;201112
1506005;12/1/2011;2;2011;1;20111
1506104;;1;;;
1506112;2/11/2022;1;2022;11;202211
1506138;3/5/1976;6;1976;5;19765
1506161;5/9/1991;3;1991;9;19919
1506187;11/8/1982;5;1982;8;19828
1506195;;2;;;
1506203;9/12/2002;4;2002;12;200212
1506302;;1;;;
1506351;6/9/2014;1;2014;9;20149
1506401;6/11/2022;1;2022;11;202211
1506500;4/2/1990;4;1990;2;19902
1506559;;1;;;
1506583;7/1/2021;1;2021;1;20211
1506609;12/3/1986;2;1986;3;19863
1506708;10/5/1977;4;1977;5;19775
1506807;7/2/1940;13;1940;2;19402
1506906;;1;;;
1507003;;1;;;
1507102;;1;;;
1507151;9/12/2011;3;2011;12;201112
1507201;;1;;;
1507300;3/11/1986;5;1986;11;198611
1507409;;1;;;
1507458;11/3/2011;3;2011;3;20113
1507466;4/6/2023;1;2023;6;20236
1507474;;1;;;
