cod_ibge;empresas
1100015;476
1100023;2599
1100031;46
1100049;2528
1100056;432
1100064;305
1100072;112
1100080;191
1100098;741
1100106;556
1100114;1105
1100122;3777
1100130;602
1100148;338
1100155;760
1100189;1097
1100205;9960
1100254;403
1100262;48
1100288;1314
1100296;93
1100304;3228
1100320;332
1100338;313
1100346;223
1100379;154
1100403;239
1100452;530
1100502;115
1100601;49
1100700;118
1100809;313
1100908;25
1100924;216
1100940;300
1101005;82
1101104;99
1101203;125
1101302;179
1101401;190
1101435;64
1101450;47
1101468;37
1101476;44
1101484;64
1101492;281
1101500;112
1101559;49
1101609;73
1101708;149
1101757;126
1101807;84
1200013;116
1200054;42
1200104;266
1200138;74
1200179;57
1200203;1031
1200252;237
1200302;207
1200328;21
1200336;77
1200344;36
1200351;41
1200385;137
1200393;30
1200401;5689
1200427;39
1200435;13
1200450;151
1200500;256
1200609;255
1200708;170
1200807;73
1300029;48
1300060;18
1300086;29
1300102;52
1300144;363
1300201;23
1300300;121
1300409;40
1300508;172
1300607;134
1300631;59
1300680;43
1300706;192
1300805;49
1300839;23
1300904;57
1301001;136
1301100;127
1301159;59
1301209;382
1301308;35
1301407;202
1301506;51
1301605;100
1301654;28
1301704;635
1301803;25
1301852;378
1301902;699
1301951;44
1302009;40
1302108;30
1302207;37
1302306;114
1302405;112
1302504;695
1302553;47
1302603;27289
1302702;469
1302801;23
1302900;425
1303007;57
1303106;93
1303205;118
1303304;78
1303403;746
1303502;24
1303536;194
1303569;166
1303601;29
1303700;78
1303809;230
1303908;43
1303957;50
1304005;23
1304062;251
1304104;33
1304203;454
1304237;28
1304260;42
1304302;81
1304401;55
1400027;21
1400050;50
1400100;5898
1400159;66
1400175;99
1400209;92
1400233;48
1400282;45
1400308;109
1400407;26
1400456;128
1400472;256
1400506;62
1400605;44
1400704;25
1500107;1049
1500131;50
1500206;149
1500305;53
1500347;99
1500404;277
1500503;352
1500602;1945
1500701;89
1500800;4765
1500859;273
1500909;171
1500958;117
1501006;59
1501105;47
1501204;90
1501253;43
1501303;1418
1501402;19642
1501451;101
1501501;631
1501576;132
1501600;58
1501709;708
1501725;186
1501758;39
1501782;335
1501808;587
1501907;72
1501956;95
1502004;91
1502103;675
1502152;1046
1502202;962
1502301;305
1502400;3227
1502509;32
1502608;21
1502707;469
1502756;182
1502764;84
1502772;188
1502806;75
1502855;50
1502905;175
1502939;518
1502954;240
1503002;41
1503044;118
1503077;97
1503093;223
1503101;159
1503200;253
1503309;374
1503408;36
1503457;153
1503507;141
1503606;2271
1503705;296
1503754;200
1503804;391
1503903;267
1504000;40
1504059;346
1504109;18
1504208;4286
1504307;64
1504406;144
1504422;909
1504455;208
1504505;56
1504604;119
1504703;377
1504752;146
1504802;345
1504901;85
1504950;88
1504976;98
1505007;81
1505031;903
1505064;560
1505106;327
1505205;81
1505304;491
1505403;115
1505437;309
1505486;314
1505494;43
1505502;1782
1505536;4171
1505551;52
1505601;25
1505635;120
1505650;111
1505700;61
1505809;389
1505908;141
1506005;137
1506104;49
1506112;27
1506138;1880
1506161;291
1506187;408
1506195;235
1506203;540
1506302;122
1506351;110
1506401;21
1506500;555
1506559;99
1506583;206
1506609;251
1506708;501
1506807;4876
1506906;23
1507003;200
1507102;54
1507151;154
1507201;104
1507300;571
1507409;84
1507458;261
1507466;17
1507474;83
1507508;32
1507607;377
1507706;94
1507755;43
1507805;107
1507904;183
1507953;711
1507961;66
1507979;102
1508001;734
1508035;92
1508050;137
1508084;665
1508100;974
1508126;204
1508159;388
1508209;220
1508308;197
1508357;79
1508407;1054
1600055;27
1600105;38
1600154;83
1600204;62
1600212;15
1600238;42
1600253;20
1600279;270
1600303;5483
1600402;80
1600501;203
1600535;130
1600550;12
1600600;804
1600709;69
1600808;77
1700251;31
1700301;50
1700350;98
1700400;98
1700707;309
1701002;149
1701051;33
1701101;74
1701309;26
1701903;51
1702000;190
1702109;4388
